"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY","X","X.1","YM.1","판매년월"
"1",200901,"일반탄산음료",37,1410,1543,4,126753,151,12,NA,NA,"CATEGORY","음료 카테고리"
"2",200902,"일반탄산음료",37,1209,1543,9,113399,3014,8,NA,NA,"ITEM_CNT","상품품목수"
"3",200903,"일반탄산음료",38,1348,1547,12,129162,1383,9,NA,NA,"QTY","판매량"
"4",200904,"일반탄산음료",38,1377,1500,19,126277,3564,8,NA,NA,"PRICE","가격"
"5",200905,"일반탄산음료",40,1406,1528,25,129584,9288,12,NA,NA,"MAXTEMP","기온"
"6",200906,"일반탄산음료",39,1343,1623,27,123218,9998,8,NA,NA,"SALEDAY","영업(판매)일수"
"7",200907,"일반탄산음료",38,1313,1600,28,131083,17405,8,NA,NA,"RAIN_DAY","강우일수"
"8",200908,"일반탄산음료",39,1448,1577,29,130040,7704,10,NA,NA,"HOLIDAY","휴일일수"
"9",200909,"일반탄산음료",41,1531,1559,27,131989,4096,8,NA,NA,"",""
"10",200910,"일반탄산음료",43,1670,1586,22,136095,2824,10,NA,NA,"",""
"11",200911,"일반탄산음료",44,1572,1573,12,136152,3684,9,NA,NA,"",""
"12",200912,"일반탄산음료",46,1595,1789,5,137391,216,9,NA,NA,"",""
"13",201001,"일반탄산음료",45,1432,1796,2,141145,792,11,NA,NA,"",""
"14",201002,"일반탄산음료",45,1287,1796,7,128528,4384,9,NA,NA,"",""
"15",201003,"일반탄산음료",45,1430,1796,10,145771,2940,9,NA,NA,"",""
"16",201004,"일반탄산음료",45,1503,1796,15,130412,5973,8,NA,NA,"",""
"17",201005,"일반탄산음료",44,1526,1877,23,143681,8656,12,NA,NA,"",""
"18",201006,"일반탄산음료",40,1409,1940,28,145035,6325,8,NA,NA,"",""
"19",201007,"일반탄산음료",40,1380,1940,29,148561,14930,9,NA,NA,"",""
"20",201008,"일반탄산음료",40,1372,1940,31,153056,30531,9,NA,NA,"",""
"21",201009,"일반탄산음료",41,1519,1971,27,147804,23150,11,NA,NA,"",""
"22",201010,"일반탄산음료",41,2052,1988,20,155952,1337,10,NA,NA,"",""
"23",201011,"일반탄산음료",41,1655,1988,13,154482,0,8,NA,NA,"",""
"24",201012,"일반탄산음료",41,1762,1988,5,161292,886,8,NA,NA,"",""
"25",201101,"일반탄산음료",42,1626,1957,-1,163610,82,10,NA,NA,"",""
"26",201102,"일반탄산음료",41,1496,1988,7,149737,5587,11,NA,NA,"",""
"27",201103,"일반탄산음료",41,1678,1988,10,169838,919,9,NA,NA,"",""
"28",201104,"일반탄산음료",41,1653,1988,17,167577,8244,9,NA,NA,"",""
"29",201105,"일반탄산음료",38,1654,2051,23,176452,7345,10,NA,NA,"",""
"30",201106,"일반탄산음료",37,1580,2012,27,173664,25001,9,NA,NA,"",""
"31",201107,"일반탄산음료",37,1553,2012,29,182676,43058,10,NA,NA,"",""
"32",201108,"일반탄산음료",37,1799,2012,29,186850,20554,9,NA,NA,"",""
"33",201109,"일반탄산음료",36,1773,2026,26,184270,5373,10,NA,NA,"",""
"34",201110,"일반탄산음료",33,1914,2026,20,194286,4146,11,NA,NA,"",""
"35",201111,"일반탄산음료",31,1907,2156,16,191703,10027,8,NA,NA,"",""
